STUDY_ID	SAMPLE_ID	CD274
blca_tcga	TCGA-UY-A9PH-01	-0.1495
blca_tcga	TCGA-XF-A8HH-01	-0.3665
blca_tcga	TCGA-XF-A8HI-01	-0.3657
blca_tcga	TCGA-YC-A8S6-01	-0.1259
blca_tcga	TCGA-YF-AA3L-01	-0.4157
blca_tcga	TCGA-ZF-A9R0-01	-0.1784
blca_tcga	TCGA-ZF-A9R3-01	-0.347
blca_tcga	TCGA-ZF-A9R4-01	-0.2934
blca_tcga	TCGA-ZF-A9R7-01	0.0506
blca_tcga	TCGA-ZF-A9R9-01	-0.3561
blca_tcga	TCGA-ZF-A9RC-01	-0.4198
blca_tcga	TCGA-ZF-A9RE-01	-0.382
blca_tcga	TCGA-ZF-A9RF-01	1.3213
blca_tcga	TCGA-ZF-A9RL-01	-0.4108
blca_tcga	TCGA-ZF-A9RM-01	-0.3321
blca_tcga	TCGA-ZF-AA4N-01	-0.129
blca_tcga	TCGA-ZF-AA4R-01	-0.3412
blca_tcga	TCGA-ZF-AA4T-01	-0.305
blca_tcga	TCGA-ZF-AA4U-01	-0.4182
blca_tcga	TCGA-ZF-AA4V-01	0.4855
blca_tcga	TCGA-ZF-AA4W-01	-0.3357
blca_tcga	TCGA-ZF-AA4X-01	-0.2162
blca_tcga	TCGA-4Z-AA7M-01	-0.3752
blca_tcga	TCGA-4Z-AA7N-01	0.0081
blca_tcga	TCGA-4Z-AA7O-01	-0.3702
blca_tcga	TCGA-4Z-AA7Q-01	0.3102
blca_tcga	TCGA-4Z-AA7R-01	-0.4107
blca_tcga	TCGA-4Z-AA7S-01	-0.403
blca_tcga	TCGA-4Z-AA7W-01	0.0119
blca_tcga	TCGA-4Z-AA7Y-01	-0.4029
blca_tcga	TCGA-4Z-AA80-01	-0.3206
blca_tcga	TCGA-4Z-AA81-01	1.3819
blca_tcga	TCGA-4Z-AA82-01	-0.2832
blca_tcga	TCGA-4Z-AA83-01	-0.1572
blca_tcga	TCGA-4Z-AA84-01	0.1986
blca_tcga	TCGA-4Z-AA86-01	0.4512
blca_tcga	TCGA-4Z-AA87-01	0.3379
blca_tcga	TCGA-4Z-AA89-01	-0.3754
blca_tcga	TCGA-DK-AA6L-01	-0.3395
blca_tcga	TCGA-DK-AA6M-01	-0.1759
blca_tcga	TCGA-DK-AA6P-01	-0.4234
blca_tcga	TCGA-DK-AA6Q-01	-0.1967
blca_tcga	TCGA-DK-AA6S-01	-0.2767
blca_tcga	TCGA-DK-AA6T-01	-0.2692
blca_tcga	TCGA-DK-AA6U-01	-0.3324
blca_tcga	TCGA-DK-AA6W-01	-0.3827
blca_tcga	TCGA-DK-AA71-01	-0.3903
blca_tcga	TCGA-DK-AA74-01	-0.2116
blca_tcga	TCGA-DK-AA75-01	-0.3768
blca_tcga	TCGA-DK-AA76-01	-0.4072
blca_tcga	TCGA-DK-AA77-01	-0.3242
blca_tcga	TCGA-G2-AA3B-01	-0.3793
blca_tcga	TCGA-G2-AA3C-01	-0.3507
blca_tcga	TCGA-G2-AA3D-01	-0.3924
blca_tcga	TCGA-GU-AATO-01	-0.384
blca_tcga	TCGA-GU-AATP-01	-0.2726
blca_tcga	TCGA-GU-AATQ-01	-0.4199
blca_tcga	TCGA-XF-A9SH-01	-0.41
blca_tcga	TCGA-XF-A9SI-01	0.406
blca_tcga	TCGA-XF-A9SJ-01	0.0424
blca_tcga	TCGA-XF-A9SL-01	-0.3793
blca_tcga	TCGA-XF-A9SP-01	-0.4064
blca_tcga	TCGA-XF-A9SU-01	-0.3867
blca_tcga	TCGA-XF-A9SX-01	0.16
blca_tcga	TCGA-XF-A9SZ-01	-0.3877
blca_tcga	TCGA-XF-A9T0-01	-0.3766
blca_tcga	TCGA-XF-A9T4-01	2.2891
blca_tcga	TCGA-XF-A9T8-01	1.0454
blca_tcga	TCGA-YC-A9TC-01	2.0441
blca_tcga	TCGA-ZF-A9R1-01	-0.3799
blca_tcga	TCGA-ZF-A9R2-01	-0.3915
blca_tcga	TCGA-ZF-AA51-01	-0.2759
blca_tcga	TCGA-ZF-AA52-01	-0.3678
blca_tcga	TCGA-ZF-AA53-01	0.099
blca_tcga	TCGA-ZF-AA54-01	0.7273
blca_tcga	TCGA-ZF-AA56-01	-0.2796
blca_tcga	TCGA-ZF-AA5H-01	1.6199
